Campaign,Scenario #,Battle Name,Date,Location,Countries,Scenario File,Current Description (smScenDesc)
The Great Patriotic War Russia Campaign (1942-1945),13,"After the Russian reconnaissance units reached Warsaw in late July, on August 1, 1944 the Warsaw Uprising started. Starting from an area south of Minsk Mazowiecki, Lieutenant-General N. D. Vedeneev's 3rd Tank Corps (part of the Soviet Second Tank Army) thrust northwest through Okuniew and Wolomin to Radzymin, reaching an area only three miles (five kilometers) from the strategic bridge over the Narew River at Zegrze.",,"In response to Vedeneev's thrust, the Germans started a tactical counter-attack near Radzymin on July 31. The offensive, carried out by 4 understrength Panzer divisions, was to secure the eastern approaches to Warsaw and Vistula crossings, and aimed to destroy the three tank corps of the Second Tank Army in detail. Under the leadership of German Field Marshal Model, the 4th, 19th, Hermann Goring, and 5th SS Panzer Divisions were concentrated from different areas with their arrival in the area of Wolomin occurring between July 31 and August 1, 1944. Although the 3rd Tank Corps gamely defended the initial assaults of the Hermann Goring and 19th Panzer Divisions, the arrival of the 4th Panzer and 5th SS Panzer Divisions spelled doom for the isolated and outnumbered unit.",Germany vs Soviet Union,ruscam13.xml,"After the Russian reconnaissance units reached Warsaw in late July, on August 1, 1944 the Warsaw Uprising started. Starting from an area south of Minsk Mazowiecki, Lieutenant-General N. D. Vedeneev's 3rd Tank Corps (part of the Soviet Second Tank Army) thrust northwest through Okuniew and Wolomin to Radzymin, reaching an area only three miles (five kilometers) from the strategic bridge over the Narew River at Zegrze.

In response to Vedeneev's thrust, the Germans started a tactical counter-attack near Radzymin on July 31. The offensive, carried out by 4 understrength Panzer divisions, was to secure the eastern approaches to Warsaw and Vistula crossings, and aimed to destroy the three tank corps of the Second Tank Army in detail. Under the leadership of German Field Marshal Model, the 4th, 19th, Hermann Goring, and 5th SS Panzer Divisions were concentrated from different areas with their arrival in the area of Wolomin occurring between July 31 and August 1, 1944. Although the 3rd Tank Corps gamely defended the initial assaults of the Hermann Goring and 19th Panzer Divisions, the arrival of the 4th Panzer and 5th SS Panzer Divisions spelled doom for the isolated and outnumbered unit."
The Great Patriotic War Russia Campaign (1942-1945),14,"Cavalry-Mechanized Group Pliyev is in danger of being cut off at Nyiregyhaza, your Corps has been attached to the 6th Guards Tank Army and will attack north from Debrecen in order to relieve Cavalry Mechanized Group Pliyev. Holding Nyiregyhaza will cut off the escape route of the German 8th Army. The Germans and Hungarians have launched a counter-attack with 1st and 23rd Panzer Divisions reinforced by the Konigstigers of the sPz Abt 503.",,,Cavalry vs Germany vs Hungary,ruscam14.xml,"Cavalry-Mechanized Group Pliyev is in danger of being cut off at Nyiregyhaza, your Corps has been attached to the 6th Guards Tank Army and will attack north from Debrecen in order to relieve Cavalry Mechanized Group Pliyev. Holding Nyiregyhaza will cut off the escape route of the German 8th Army. The Germans and Hungarians have launched a counter-attack with 1st and 23rd Panzer Divisions reinforced by the Konigstigers of the sPz Abt 503."
The Great Patriotic War Russia Campaign (1942-1945),15,"On 29 October 1944, the Red Army started its offensive against the city of Budapest. More than 1,000,000 men split into two operating maneuver groups rushed towards the city. The plan was to cut Budapest off from the rest of the German and Hungarian forces. On 7 November 1944, Soviet and Romanian troops entered the eastern suburbs of Budapest, 20 kilometers from the old town.",,,Germany vs Hungary vs Romania vs Soviet Union,ruscam15.xml,"On 29 October 1944, the Red Army started its offensive against the city of Budapest. More than 1,000,000 men split into two operating maneuver groups rushed towards the city. The plan was to cut Budapest off from the rest of the German and Hungarian forces. On 7 November 1944, Soviet and Romanian troops entered the eastern suburbs of Budapest, 20 kilometers from the old town."
The Great Patriotic War Russia Campaign (1942-1945),16,"The main thrust of the offensive wil to be conducted by the 3rd Belorussian Front under Chernyakhovsky. Your forces are tasked with driving westwards towards Konigsberg, against the defensive positions of Third Panzer Army and Fourth Army, the northern armies of General Georg-Hans Reinhardt's Army Group Center.",,,,ruscam16.xml,"The main thrust of the offensive wil to be conducted by the 3rd Belorussian Front under Chernyakhovsky. Your forces are tasked with driving westwards towards Konigsberg, against the defensive positions of Third Panzer Army and Fourth Army, the northern armies of General Georg-Hans Reinhardt's Army Group Center."
The Great Patriotic War Russia Campaign (1942-1945),17,"Operation Solstice (German: Unternehmen Sonnenwende), also known as Unternehmen Husarenritt or the 'Stargard tank battle', was a German armoured offensive operation on the Eastern Front, one of the last such operations.",,"Originally planned as a major offensive, it was eventually executed as a more limited attack.",Germany vs Soviet Union,ruscam17.xml,"Operation Solstice (German: Unternehmen Sonnenwende), also known as Unternehmen Husarenritt or the 'Stargard tank battle', was a German armoured offensive operation on the Eastern Front, one of the last such operations.

Originally planned as a major offensive, it was eventually executed as a more limited attack.
It was repulsed by the Red Army, but helped to convince the Soviet High Command to postpone the planned attack on Berlin."
The Great Patriotic War Russia Campaign (1942-1945),18,"The beginning of the end, Battle of the Seelow Heights.",,"In the early hours of 16 April, the offensive began with a massive bombardment by thousands of artillery pieces and Katyushas. Well before dawn, the 1st Belorussian Front attacked across the Oder and the 1st Ukrainian Front attacked across the Neisse. The 1st Belorussian Front was the stronger force but it had the more difficult assignment since it was facing the bulk of the German forces.",Fascist forces vs Germany vs Soviet Union,ruscam18.xml,"The beginning of the end, Battle of the Seelow Heights.

In the early hours of 16 April, the offensive began with a massive bombardment by thousands of artillery pieces and Katyushas. Well before dawn, the 1st Belorussian Front attacked across the Oder and the 1st Ukrainian Front attacked across the Neisse. The 1st Belorussian Front was the stronger force but it had the more difficult assignment since it was facing the bulk of the German forces.

""The offensive demands a boundless mass of energy from us in order to bring the Fascist filth to an even quicker end."" -Inscription on a Soviet monument."
The Great Patriotic War Russia Campaign (1942-1945),19,"""On the walls of the houses we saw Goebbels' appeals, hurriedly scrawled in white paint: 'Every German will defend his capital. We shall stop the Red hordes at the walls of our Berlin.' Just try and stop them!",,"Steel pillboxes, barricades, mines, traps, suicide squads with grenades clutched in their hands all are swept aside before the tidal wave.",Fascist forces vs Germany vs Soviet Union,ruscam19.xml,"""On the walls of the houses we saw Goebbels' appeals, hurriedly scrawled in white paint: 'Every German will defend his capital. We shall stop the Red hordes at the walls of our Berlin.' Just try and stop them!
Steel pillboxes, barricades, mines, traps, suicide squads with grenades clutched in their hands all are swept aside before the tidal wave.
Drizzling rain began to fall. Near Bisdorf I saw batteries preparing to open fire.
'What are the targets?' I asked the battery commander.
Center of Berlin, Spree bridges, and the northern and Stettin railway stations,' he answered.
Then came the tremendous words of command: 'Open fire at the capital of Fascist Germany.'
I noted the time. It was exactly 8:30 a.m. on 22 April. Ninety-six shells fell in the center of Berlin in the course of a few minutes.""

-A Soviet war correspondent."
Czech Legion - Siberian Anabasis (1917-1920),0,*** CZECH LEGION - SIBERIAN ANABASIS ***,"SIBERIAN ANABASIS ***Our beloved lands of Bohemia and Moravia have been under Habsburg control for centuries. Now, during the World War, the time has come to liberate ourselves and rule our own country ourselves!The Habsburg K.u.K Army has suffered tremendous losses ever since 1914 and of the hundreds of thousands prisoners, a considerable number of Czech were part of that. Our political leaders, like Masaryk and Durich, have received permission from the Russian Tsar to form a Czech Legion. In 1916 two Czech regiments were formed. Early 1917 a revolution takes place in Russia which forces the Tsar to abdicate. Under the new government, lead by Kerensky, Russia continues the war against Austria-Hungary and the Germany. The Czech Legion is expanded to brigade size and is deployed at the southern front against the Austro-Hungarian K.u.K Army in the area of Zborow when Kerensky orders an offensive.00. ZBOROW (2 July 1917)The Czech Legion will take part in the Kerensky Offensive, lead by the 1916 hero Brusilov. The goal is to capture Lemberg and Kowel. The Czech Legion receives orders to capture the village of Pluhiv after breaking through the Austro-Hungarian trenches.The Czech Legion is deployed in between the Finnish 6th and 4th divisions. The Austro-Hungarian forces consist of the K.u.K. 19th infantry division which consists roughly of half of Czechs... Success is vital!","Our beloved lands of Bohemia and Moravia have been under Habsburg control for centuries. Now, during the World War, the time has come to liberate ourselves and rule our own country ourselves!",Czechoslovakia vs Germany vs Hungary,acampzbo.xml,"*** CZECH LEGION - SIBERIAN ANABASIS ***

Our beloved lands of Bohemia and Moravia have been under Habsburg control for centuries. Now, during the World War, the time has come to liberate ourselves and rule our own country ourselves!

The Habsburg K.u.K Army has suffered tremendous losses ever since 1914 and of the hundreds of thousands prisoners, a considerable number of Czech were part of that. Our political leaders, like Masaryk and Durich, have received permission from the Russian Tsar to form a Czech Legion. In 1916 two Czech regiments were formed. Early 1917 a revolution takes place in Russia which forces the Tsar to abdicate. Under the new government, lead by Kerensky, Russia continues the war against Austria-Hungary and the Germany. The Czech Legion is expanded to brigade size and is deployed at the southern front against the Austro-Hungarian K.u.K Army in the area of Zborow when Kerensky orders an offensive.

00. ZBOROW (2 July 1917)

The Czech Legion will take part in the Kerensky Offensive, lead by the 1916 hero Brusilov. The goal is to capture Lemberg and Kowel. The Czech Legion receives orders to capture the village of Pluhiv after breaking through the Austro-Hungarian trenches.

The Czech Legion is deployed in between the Finnish 6th and 4th divisions. The Austro-Hungarian forces consist of the K.u.K. 19th infantry division which consists roughly of half of Czechs... Success is vital!"
Czech Legion - Siberian Anabasis (1917-1920),1,01. Kiev (28 February 1918),,"The Bolshevik rule in Russia had resulted in a armistice with the Central Powers signed on 17 December 1917. At the moment peace talks are taking place in Brest-Litovsk. To force the Bolsheviks to sign, the Central Powers have resumed their offensive actions and because of the complete dissarray of the Russian Army, they are pushing deep into the Ukraine. At the time, the Czech Legion was retreating east to avoid capture by the German Army. The Czech Legion was now an independant force, obeying only to their own commander as nobody else could be trusted.",Czechoslovakia vs Germany,acampkie.xml,"01. Kiev (28 February 1918)

The Bolshevik rule in Russia had resulted in a armistice with the Central Powers signed on 17 December 1917. At the moment peace talks are taking place in Brest-Litovsk. To force the Bolsheviks to sign, the Central Powers have resumed their offensive actions and because of the complete dissarray of the Russian Army, they are pushing deep into the Ukraine. At the time, the Czech Legion was retreating east to avoid capture by the German Army. The Czech Legion was now an independant force, obeying only to their own commander as nobody else could be trusted. 

Near the end of February 1918 the German Army had reached the outskirts of the Ukrainian capitol of Kiev. The Bolshevik authorities have fled the city leaving only behind the most fanatical volunteers. Ukrainian nationalist are welcoming the Germans as liberators of their country. One of the German goals is to capture or destroy the Czech Legion for it was that force that was essential in slowing down the German advance time after time. 

As we speak the Czech Legion has partly reached Kiev and parts of the Legion  will take up defensive positions at the bridges over the Dnjepr River, so that the bulk of Czech Legion can retreat even deeper into the Ukraine and stay out of German hands. You will have to hold out for at least five days.

NOTE: After 11 turns you must hold 3 VHs to win the scenario."
Czech Legion - Siberian Anabasis (1917-1920),2,02. BACHMATSJ (13 March 1918),,On 3 March 1918 the Bolsheviks signed the peace treaty of Brest-Litovsk which made an end to official hostilities between Russia and the Central Powers. However sporadic fighting continued for days. Russia gave away huge territories including the Ukraine. At the time of the armistice the Czech Legion was east of Kiev.,Czechoslovakia vs Germany vs Soviet Union,acampbac.xml,"02. BACHMATSJ (13 March 1918)

On 3 March 1918 the Bolsheviks signed the peace treaty of Brest-Litovsk which made an end to official hostilities between Russia and the Central Powers. However sporadic fighting continued for days. Russia gave away huge territories including the Ukraine. At the time of the armistice the Czech Legion was east of Kiev.

The Germans were close to reaching their new borders on the border of Russia and the Ukraine. German forces made rapid advances using the railways. A collision between German troops and the Czech Legion is about to take place near the village of Bachmatsj, between Kiev and Konotop. To avoid capture it might be needed to fight a way east. Soviet Red Army troops are in the same position and are also trying to flee east. Cooperation with the Communists could be useful to our cause."
Czech Legion - Siberian Anabasis (1917-1920),3,03. TSJELJABINSK (14 May 1918),,An agreement has been made between the Bolshevik authorities in Moscow and the Czech Legion. The Legion is allowed to get out of Russia using the Trans-Siberian railway. So the Legion was scattered over the railway between Penza and the Urals in May 1918.,Czechoslovakia vs Hungary vs Soviet Union,acamptsj.xml,"03. TSJELJABINSK (14 May 1918)

An agreement has been made between the Bolshevik authorities in Moscow and the Czech Legion. The Legion is allowed to get out of Russia using the Trans-Siberian railway. So the Legion was scattered over the railway between Penza and the Urals in May 1918. 

It was not of the Legion's wishes to mix itself into any Russian internal affairs but local Soviet authorities were sometimes acting on their own good. The relation between the Soviets and Czechs was tense. So on 14 May 1918 the units of the Legion arrived in Tsjeljabinsk, east of the Ural mountains, where a train with Hungarian prisoners of war which were returning to Austria-Hungary in accordance with the Brest-Litovsk treaty. At Tsjeljabinsk an incident between a number of Czechs and Hungarians took place after which the local Soviet authority imprisoned a number of Czechs. Trotsky ordered to disarm the Legion which was sufficient for the Legion's commanders to take their faith into their own hands. 

You have to attack the prisonhouse in Tsjeljabinsk and free your fellow legionairs. You might have to defend yourself against possible attacking local Soviet troops and the Hungarian POWs which are still in the vicinity. Parts of the Legion is still at railroads west of Tsjejabinsk but some of them might arrive on time to help you.

NOTE: YOU CAN USE THE RAILROADS BY EMBARKING YOUR UNITS FROM NOW ON."
Czech Legion - Siberian Anabasis (1917-1920),4,04. SAMARA (26 May 1918),,"After breaking with the Soviet authorities, the Czech Legion started to take over city after city along the railroads towards Wladiwostok. As it was still dispersed from east of the Urals in the east to almost the  Volga River in the west. Before long the Legion held power over a huge stretch of territory and was seen as one of the most dangerous enemies by the Soviet leaders in Moscow. In an attempt to secure itself the Czech Legion carried out attacks on Soviet cities. Tsjeljabinsk and Ufa had already been taken. Samara on the Volga River would be next.",Czechoslovakia vs Soviet Union,acampsam.xml,"04. SAMARA (26 May 1918)

After breaking with the Soviet authorities, the Czech Legion started to take over city after city along the railroads towards Wladiwostok. As it was still dispersed from east of the Urals in the east to almost the  Volga River in the west. Before long the Legion held power over a huge stretch of territory and was seen as one of the most dangerous enemies by the Soviet leaders in Moscow. In an attempt to secure itself the Czech Legion carried out attacks on Soviet cities. Tsjeljabinsk and Ufa had already been taken. Samara on the Volga River would be next.

Your are ordered to use the railroads to reach Samara on the Volga River. No doubt the Soviets will attempt to slow you down on the way to buy time to prepare defenses of Samara. You veterans must overcome all difficulties and clear Samara from Bolsheviks."
Czech Legion - Siberian Anabasis (1917-1920),5,05. KAZAN (7 July 1918),with anyone.,"In the process of securing its own fate, the Czech Legion was capturing various cities. Within weeks the Volga River was reached and the city of Samara was taken. Next would be Kazan, famous for holding the Imperial Gold Reserve. A fact not lost for the Czech Legion.",Czechoslovakia,acampkaz.xml,"05. KAZAN (7 July 1918)

In the process of securing its own fate, the Czech Legion was capturing various cities. Within weeks the Volga River was reached and the city of Samara was taken. Next would be Kazan, famous for holding the Imperial Gold Reserve. A fact not lost for the Czech Legion.

From Samara, south of Kazan, you will once again use the railroad system to quickly reach Kazan and clear it of Bolsheviks. The Imperial Gold Reserve is also one of your goals. If we capture it, we have a very good negitiation position - with anyone."
Czech Legion - Siberian Anabasis (1917-1920),6,07. OMSK (22 December 1918),both sides had profit from one another. A small part of the Legion will take part in the action to put down this revolt. Support will come from Cossacks which are grazing in the countryside.,"The autumn of 1918 brought good news to the Czech Legion. Austria-Hungary had surrendered and the new state of Czechoslovakia had declared its independance. In short, the Czechs and Slovaks of the Legion had a home to attend to. It would no longer be unneccasarily involve itself in the Russian Civil War anymore.",Czechoslovakia vs Russia,acampoms.xml,"07. OMSK (22 December 1918)

The autumn of 1918 brought good news to the Czech Legion. Austria-Hungary had surrendered and the new state of Czechoslovakia had declared its independance. In short, the Czechs and Slovaks of the Legion had a home to attend to. It would no longer be unneccasarily involve itself in the Russian Civil War anymore.

To reach its homeland, the Legion had still to cross Siberia, which was in control of White Russian power under Admiral Koltsjak. December 1918 saw a revolt against Koltsjak in Omsk, east of the Ural mountains, where Koltsjak held court. The Czech Legion supported Koltsjak as he did not object to the presence the Czech Legion - both sides had profit from one another. 

A small part of the Legion will take part in the action to put down this revolt. Support will come from Cossacks which are grazing in the countryside."
Czech Legion - Siberian Anabasis (1917-1920),7,09. SEMENOV (10 February 1920),,"Early 1920, the Legion was close to reaching Wladiwostok. At Irkutsk the Czech Legion traded the Imperial Gold Reserve and Koltsjak to the Soviets for a free passage further east. Being already east of Lake Baikal, it was thought no more fighting would take place. However these regions, east of Lake Baikal, were never under control by Koltsjak and a Cossack ruler, Ataman Semenov, ruled here. Semenov was supported by Japan and was initially hostile towards the Legion.",Czechoslovakia vs Soviet Union,acampsem.xml,"09. SEMENOV (10 February 1920)

Early 1920, the Legion was close to reaching Wladiwostok. At Irkutsk the Czech Legion traded the Imperial Gold Reserve and Koltsjak to the Soviets for a free passage further east. Being already east of Lake Baikal, it was thought no more fighting would take place. However these regions, east of Lake Baikal, were never under control by Koltsjak and a Cossack ruler, Ataman Semenov, ruled here. Semenov was supported by Japan and was initially hostile towards the Legion.

You must go further east towards Chita. Our goal remains leaving Russia and get home. Semenov's Transbaikal Cossacks might try to stop you and you have orders not to be stopped by anyone."
Czech Legion - Siberian Anabasis (1917-1920),8,10. WLADIWOSTOK (10 March 1920),,"After two years of struggle getting through Russia, the Czech Legion had finally reached Wladiwostok and all what was left was waiting on ships to take them home, as initially there were not sufficient ships to take all back home at once.",Czechoslovakia vs Japan vs USA,acampwla.xml,"10. WLADIWOSTOK (10 March 1920)

After two years of struggle getting through Russia, the Czech Legion had finally reached Wladiwostok and all what was left was waiting on ships to take them home, as initially there were not sufficient ships to take all back home at once.

You have get to Wladiswostok by passing American and Japanese zones of occupation. No more fighting is needed! You are going home!!!"
Czech Legion - Siberian Anabasis (1917-1920),9,06. KAZAN - RED OFFENSIVE (27 October 1918),"RED OFFENSIVE (27 October 1918)The loss of Kazan had generated into enormous bolshevik activity to stop the Czech Legion from capturing more cities and advance across the Volga River towards Moscow. Leon Trotski himself would conduct the preparations.The Soviet assembled their Fifth Army under General Tukhachevsky, which later lead the invasion of Poland and become victim of Stalin's purges. The Fifth Army had reached the Volga River and was now ready to recapture Kazan. You must hold Kazan and hold the enemy at bay. We have no intentions of advancing towards Moscow but we will not be defeated. Also hold open the railroads to the Ural mountains.",The loss of Kazan had generated into enormous bolshevik activity to stop the Czech Legion from capturing more cities and advance across the Volga River towards Moscow. Leon Trotski himself would conduct the preparations.,Czechoslovakia vs Soviet Union,acampka2.xml,"06. KAZAN - RED OFFENSIVE (27 October 1918)

The loss of Kazan had generated into enormous bolshevik activity to stop the Czech Legion from capturing more cities and advance across the Volga River towards Moscow. Leon Trotski himself would conduct the preparations.

The Soviet assembled their Fifth Army under General Tukhachevsky, which later lead the invasion of Poland and become victim of Stalin's purges. The Fifth Army had reached the Volga River and was now ready to recapture Kazan. 

You must hold Kazan and hold the enemy at bay. We have no intentions of advancing towards Moscow but we will not be defeated. Also hold open the railroads to the Ural mountains."
Czech Legion - Siberian Anabasis (1917-1920),10,08. UFA (9 June 1919),,"The Czech Legion had withdrawn itself from the Russian Civil War and was only sparsely involved when 1918 ended. However, still elements of the Legion were scattered as far west as Ufa, near the Ural mountains, when the White Russian forces of Koltsjak were on the retreat under pressure of a huge Soviet offensive aimed at destroying the White Russians in Siberia.",Czechoslovakia vs Russia vs Soviet Union,acampufa.xml,"08. UFA (9 June 1919)

The Czech Legion had withdrawn itself from the Russian Civil War and was only sparsely involved when 1918 ended. However, still elements of the Legion were scattered as far west as Ufa, near the Ural mountains, when the White Russian forces of Koltsjak were on the retreat under pressure of a huge Soviet offensive aimed at destroying the White Russians in Siberia.

The White Russian Siberian Army has suffered defeat after defeat and is retreating towards to Ural mountains where it hopes to stop the Soviet advance. The important city of Ufa has just now fallen in Soviet hands. Czech Legion units are near Ufa and are in immediately threat of being attacked.

You are in command of the Czech Legion units near Ufa. You must hold any enemy from blocking the railroads going east, to the Ural mountains and safeguard the railroad. It might be needed to engage Soviet units because the White Russian army might not be able to stem the Soviet advance..."
A Long Journey to Freedom (1848-1865),0,"20. 4. 1848, Prologue: Knechtschaft oder Revolution! (Slavery or Revolution!)",,"Lieber Freund,",,aljf_0.xml,"20. 4. 1848, Prologue: Knechtschaft oder Revolution! (Slavery or Revolution!)

Lieber Freund,
not much time to write, hastily a short note for you:
I joined Friedrich Hecker who is negotiating at the moment with prussian general Friedrich von Gagen.
Von Gagen wants unconditional surrender which we never will accept.
But still we are not enough men, so we have to flee from here. At Rhine and Neckar we will surely find a lot of supporters...

ORDERS:
Save Friedrich Hecker or the Revolution will be lost!

ADVICE FROM YOUR OLDEST SERGEANT:
It is important for us to gain experience but we should withdraw to the east....!"
A Long Journey to Freedom (1848-1865),1,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",,"Lieber Freund,",Germany,aljf_1.xml,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)

Lieber Freund,

...I feel, now the time has come !
I've joined the ""Heckerzug"" and fight for a free, democratic Republic for all Germans.....

To hell with all those Dukes and Earls !
To hell with all Prussians !
Vivat the german Republic !

ORDERS:
Herr General, free all the Main Cities around the Neckar and take you radvance to the important City of Freiburg. 
Reinforces from every liberated City will join our Revolution Army and the german democratic Legion aproaching in the South.
Hurry up! Our Spies report enemy forces, arriving in the east in a few days.
The Capital of Baden, Karlsruhe, we must take later.

TAKE ALL VH's

ADVICE FROM YOUR OLDEST SERGEANT:
Herr General, we must hurry up: speed is the key; but dont forget our back.....
And before you attack Freiburg, you must gather your troops !

NOTE:
It is only possible to deploy Friedrich Hecker at hex (29,29)."
