Campaign,Scenario #,Battle,Outcome,Prestige Reward,Branches To,Next Scenario ID,Outcome Text
The Great Patriotic War Russia Campaign (1942-1945),3,Operation Star,TACTICAL,2100,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",4,"As the German Sixth Army was encircled in Stalingrad, the Red Army undertook a series of wider offensives against the rest of Army Group South. These culminated on 2 January 1943, when the Soviets launched Operation Star, which between January and early February broke German defenses and led to the Soviet recapture of Kharkov, Belgorod and Kursk. The Soviet offensive was successful, but caused participating Soviet units to over-extend themselves."
The Great Patriotic War Russia Campaign (1942-1945),3,Operation Star,VICTORY,1850,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",4,"As the German Sixth Army was encircled in Stalingrad, the Red Army undertook a series of wider offensives against the rest of Army Group South. These culminated on 2 January 1943, when the Soviets launched Operation Star, which between January and early February broke German defenses and led to the Soviet recapture of Kharkov, Belgorod and Kursk. The Soviet offensive was successful, but caused participating Soviet units to over-extend themselves."
The Great Patriotic War Russia Campaign (1942-1945),4,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",BRILIANT,700,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",5,"Regardless of the tactical outcome, the Battle of Prokhorovka was turned into a critical propaganda and operational victory for the Red Army. The Germans had first thought they were almost through the defenses and were expecting nothing more than a few anti-tank guns; instead, they met the better part of a thousand tanks. Clearly the Soviets were not beaten, and this had a significant impact upon German decision making.

It also became clear that the German advantage in quality of officers and men was now eroding and the self-confident Soviets were ready to begin launching larger offensives and driving the German forces back towards Germany. From this point forward, the strategic initiative would remain with the Red Army."
The Great Patriotic War Russia Campaign (1942-1945),4,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",LOSE,900,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",5,"Regardless of the tactical outcome, the Battle of Prokhorovka was turned into a critical propaganda and operational victory for the Red Army. The Germans had first thought they were almost through the defenses and were expecting nothing more than a few anti-tank guns; instead, they met the better part of a thousand tanks. Clearly the Soviets were not beaten, and this had a significant impact upon German decision making.

It also became clear that the German advantage in quality of officers and men was now eroding and the self-confident Soviets were ready to begin launching larger offensives and driving the German forces back towards Germany. From this point forward, the strategic initiative would remain with the Red Army."
The Great Patriotic War Russia Campaign (1942-1945),4,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",TACTICAL,800,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",5,"Regardless of the tactical outcome, the Battle of Prokhorovka was turned into a critical propaganda and operational victory for the Red Army. The Germans had first thought they were almost through the defenses and were expecting nothing more than a few anti-tank guns; instead, they met the better part of a thousand tanks. Clearly the Soviets were not beaten, and this had a significant impact upon German decision making.

It also became clear that the German advantage in quality of officers and men was now eroding and the self-confident Soviets were ready to begin launching larger offensives and driving the German forces back towards Germany. From this point forward, the strategic initiative would remain with the Red Army."
The Great Patriotic War Russia Campaign (1942-1945),4,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",VICTORY,850,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",5,"Regardless of the tactical outcome, the Battle of Prokhorovka was turned into a critical propaganda and operational victory for the Red Army. The Germans had first thought they were almost through the defenses and were expecting nothing more than a few anti-tank guns; instead, they met the better part of a thousand tanks. Clearly the Soviets were not beaten, and this had a significant impact upon German decision making.

It also became clear that the German advantage in quality of officers and men was now eroding and the self-confident Soviets were ready to begin launching larger offensives and driving the German forces back towards Germany. From this point forward, the strategic initiative would remain with the Red Army."
The Great Patriotic War Russia Campaign (1942-1945),5,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",BRILIANT,700,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",6,"The Soviet forces pressed back the German defenders and liberated Orel. Operation Kutuzov set the stage for the liberation of Smolensk in September 1943. The Germans were greatly weakened by this thrust, and thus were unable to stop further Soviet advances westwards."
The Great Patriotic War Russia Campaign (1942-1945),5,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",LOSE,0,CAMPAIGN END / DEFEAT,255,Defeat and Disgrace!
The Great Patriotic War Russia Campaign (1942-1945),5,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",TACTICAL,800,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",6,"The Soviet forces pressed back the German defenders and liberated Orel. Operation Kutuzov set the stage for the liberation of Smolensk in September 1943. The Germans were greatly weakened by this thrust, and thus were unable to stop further Soviet advances westwards."
The Great Patriotic War Russia Campaign (1942-1945),5,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",VICTORY,850,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",6,"The Soviet forces pressed back the German defenders and liberated Orel. Operation Kutuzov set the stage for the liberation of Smolensk in September 1943. The Germans were greatly weakened by this thrust, and thus were unable to stop further Soviet advances westwards."
The Great Patriotic War Russia Campaign (1942-1945),6,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",BRILIANT,700,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",7,"While the attack seemed of little value, it did force the Germans back, even further from the Dnepr and any territory freed, meant a better hope for life to the civilians there."
The Great Patriotic War Russia Campaign (1942-1945),6,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",LOSE,0,CAMPAIGN END / DEFEAT,255,Failure!
The Great Patriotic War Russia Campaign (1942-1945),6,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",TACTICAL,800,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",7,"While the attack seemed of little value, it did force the Germans back, even further from the Dnepr and any territory freed, meant a better hope for life to the civilians there."
The Great Patriotic War Russia Campaign (1942-1945),6,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",VICTORY,750,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",7,"While the attack seemed of little value, it did force the Germans back, even further from the Dnepr and any territory freed, meant a better hope for life to the civilians there."
The Great Patriotic War Russia Campaign (1942-1945),7,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",BRILIANT,700,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",8,"On the morning of 3 November 1943, the 4th Panzer Army awoke to a massive Soviet bombardment. The German forces screening the bridgehead were smashed, and Kiev was liberated in short order. The 1st Czechoslovak Independent Brigade started the assault at 12.30 on 5 November, reaching the Dniepr at 02.00 on the 6th, after sweeping through the western suburbs of the City, with Kiev finally being liberated at 06.50 on the 6th."
The Great Patriotic War Russia Campaign (1942-1945),7,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",LOSE,0,CAMPAIGN END / DEFEAT,255,You have been relieved of command!
The Great Patriotic War Russia Campaign (1942-1945),7,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",TACTICAL,800,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",8,"On the morning of 3 November 1943, the 4th Panzer Army awoke to a massive Soviet bombardment. The German forces screening the bridgehead were smashed, and Kiev was liberated in short order. The 1st Czechoslovak Independent Brigade started the assault at 12.30 on 5 November, reaching the Dniepr at 02.00 on the 6th, after sweeping through the western suburbs of the City, with Kiev finally being liberated at 06.50 on the 6th."
The Great Patriotic War Russia Campaign (1942-1945),7,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",VICTORY,850,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",8,"On the morning of 3 November 1943, the 4th Panzer Army awoke to a massive Soviet bombardment. The German forces screening the bridgehead were smashed, and Kiev was liberated in short order. The 1st Czechoslovak Independent Brigade started the assault at 12.30 on 5 November, reaching the Dniepr at 02.00 on the 6th, after sweeping through the western suburbs of the City, with Kiev finally being liberated at 06.50 on the 6th."
The Great Patriotic War Russia Campaign (1942-1945),8,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",BRILIANT,1800,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",9,"The first unit to arrive from 48th Panzer Corps was the newly formed 25th Panzer Division commanded by General der Panzertruppen Georg Jauer, on 7 November. Its drive on Fastov was halted by the 7th Guards Tank Corps. Rybalko was soon just 40 miles from Berdichev. Zhitomir was taken by the 38th Army. The 4th Panzer Army was in deep trouble. However, the situation changed with the arrival of the 1st SS Division, 1st and 7th Panzer Divisions, under the command of 48th Panzer Corps. These new forces drove north to Brusilov and then west to retake Zhitomir. Rybalko sent the 7th Guards Tank Corps, to counter the German assault, and a huge tank battle ensued, although not quite on the scale seen at Kursk."
The Great Patriotic War Russia Campaign (1942-1945),8,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",LOSE,0,CAMPAIGN END / DEFEAT,255,Failure and Defeat!
The Great Patriotic War Russia Campaign (1942-1945),8,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",TACTICAL,1800,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",9,"The first unit to arrive from 48th Panzer Corps was the newly formed 25th Panzer Division commanded by General der Panzertruppen Georg Jauer, on 7 November. Its drive on Fastov was halted by the 7th Guards Tank Corps. Rybalko was soon just 40 miles from Berdichev. Zhitomir was taken by the 38th Army. The 4th Panzer Army was in deep trouble. However, the situation changed with the arrival of the 1st SS Division, 1st and 7th Panzer Divisions, under the command of 48th Panzer Corps. These new forces drove north to Brusilov and then west to retake Zhitomir. Rybalko sent the 7th Guards Tank Corps, to counter the German assault, and a huge tank battle ensued, although not quite on the scale seen at Kursk."
The Great Patriotic War Russia Campaign (1942-1945),8,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",VICTORY,1850,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",9,"The first unit to arrive from 48th Panzer Corps was the newly formed 25th Panzer Division commanded by General der Panzertruppen Georg Jauer, on 7 November. Its drive on Fastov was halted by the 7th Guards Tank Corps. Rybalko was soon just 40 miles from Berdichev. Zhitomir was taken by the 38th Army. The 4th Panzer Army was in deep trouble. However, the situation changed with the arrival of the 1st SS Division, 1st and 7th Panzer Divisions, under the command of 48th Panzer Corps. These new forces drove north to Brusilov and then west to retake Zhitomir. Rybalko sent the 7th Guards Tank Corps, to counter the German assault, and a huge tank battle ensued, although not quite on the scale seen at Kursk."
The Great Patriotic War Russia Campaign (1942-1945),9,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",BRILIANT,700,"Three years ago, the fascists invaded Mother Russia causing untold suffering to the Russian people. Today on the 3rd anniversary of that hateful day, we begin the final Operation to drive them from our soil, Operation Bagration shall be their creshendo of doom.",10,"The First Jassy-Kishinev Offensive, was fought between 8 April and 6 June 1944 by the Soviets and Axis powers of World War II. The offensive was actually a coordinated invasion of Romania conducted by Red Army's 2nd and 3rd Ukrainian Fronts, according to the plans of the Main Command of the Soviet Military (Stavka), the two Soviet fronts would cut-off Axis vital defensive lines in Northern Romania. This then would facilitate a subsequent advance by the Red Army into the entire Balkan region. The Soviet attack commenced with the First Battle of Targu Frumos and Battle of Podu Iloaiei, and culminated with the Second Battle of Targu Frumos. However, Soviet forces failed to overcome German defenses in the region and the offensive operation ultimately failed."
The Great Patriotic War Russia Campaign (1942-1945),9,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",LOSE,0,CAMPAIGN END / DEFEAT,255,Failure!
The Great Patriotic War Russia Campaign (1942-1945),9,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",TACTICAL,900,"Three years ago, the fascists invaded Mother Russia causing untold suffering to the Russian people. Today on the 3rd anniversary of that hateful day, we begin the final Operation to drive them from our soil, Operation Bagration shall be their creshendo of doom.",10,"The First Jassy-Kishinev Offensive, was fought between 8 April and 6 June 1944 by the Soviets and Axis powers of World War II. The offensive was actually a coordinated invasion of Romania conducted by Red Army's 2nd and 3rd Ukrainian Fronts, according to the plans of the Main Command of the Soviet Military (Stavka), the two Soviet fronts would cut-off Axis vital defensive lines in Northern Romania. This then would facilitate a subsequent advance by the Red Army into the entire Balkan region. The Soviet attack commenced with the First Battle of Targu Frumos and Battle of Podu Iloaiei, and culminated with the Second Battle of Targu Frumos. However, Soviet forces failed to overcome German defenses in the region and the offensive operation ultimately failed."
The Great Patriotic War Russia Campaign (1942-1945),9,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",VICTORY,850,"Three years ago, the fascists invaded Mother Russia causing untold suffering to the Russian people. Today on the 3rd anniversary of that hateful day, we begin the final Operation to drive them from our soil, Operation Bagration shall be their creshendo of doom.",10,"The First Jassy-Kishinev Offensive, was fought between 8 April and 6 June 1944 by the Soviets and Axis powers of World War II. The offensive was actually a coordinated invasion of Romania conducted by Red Army's 2nd and 3rd Ukrainian Fronts, according to the plans of the Main Command of the Soviet Military (Stavka), the two Soviet fronts would cut-off Axis vital defensive lines in Northern Romania. This then would facilitate a subsequent advance by the Red Army into the entire Balkan region. The Soviet attack commenced with the First Battle of Targu Frumos and Battle of Podu Iloaiei, and culminated with the Second Battle of Targu Frumos. However, Soviet forces failed to overcome German defenses in the region and the offensive operation ultimately failed."
